GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars)
1400000US42003407002,42003407002,"Census Tract 4070.02, Allegheny County, Pennsylvania",67104
1400000US42003408001,42003408001,"Census Tract 4080.01, Allegheny County, Pennsylvania",77684
1400000US42003408002,42003408002,"Census Tract 4080.02, Allegheny County, Pennsylvania",98074
1400000US42003409000,42003409000,"Census Tract 4090, Allegheny County, Pennsylvania",131484
1400000US42003410000,42003410000,"Census Tract 4100, Allegheny County, Pennsylvania",103750
1400000US42003411000,42003411000,"Census Tract 4110, Allegheny County, Pennsylvania",114917
1400000US42003412001,42003412001,"Census Tract 4120.01, Allegheny County, Pennsylvania",115756
1400000US42003412002,42003412002,"Census Tract 4120.02, Allegheny County, Pennsylvania",133884
1400000US42003413100,42003413100,"Census Tract 4131, Allegheny County, Pennsylvania",104085
1400000US42003413201,42003413201,"Census Tract 4132.01, Allegheny County, Pennsylvania",73750
1400000US42003413202,42003413202,"Census Tract 4132.02, Allegheny County, Pennsylvania",71000
1400000US42003413300,42003413300,"Census Tract 4133, Allegheny County, Pennsylvania",76932
1400000US42003413400,42003413400,"Census Tract 4134, Allegheny County, Pennsylvania",88173
1400000US42003413500,42003413500,"Census Tract 4135, Allegheny County, Pennsylvania",61416
1400000US42003414101,42003414101,"Census Tract 4141.01, Allegheny County, Pennsylvania",89698
1400000US42003414102,42003414102,"Census Tract 4141.02, Allegheny County, Pennsylvania",84184
1400000US42003414200,42003414200,"Census Tract 4142, Allegheny County, Pennsylvania",73043
1400000US42003415001,42003415001,"Census Tract 4150.01, Allegheny County, Pennsylvania",87596
1400000US42003415002,42003415002,"Census Tract 4150.02, Allegheny County, Pennsylvania",92250
1400000US42003416000,42003416000,"Census Tract 4160, Allegheny County, Pennsylvania",48750
1400000US42003417100,42003417100,"Census Tract 4171, Allegheny County, Pennsylvania",53365
1400000US42003417200,42003417200,"Census Tract 4172, Allegheny County, Pennsylvania",34055
1400000US42003418000,42003418000,"Census Tract 4180, Allegheny County, Pennsylvania",55321
1400000US42003419000,42003419000,"Census Tract 4190, Allegheny County, Pennsylvania",49643
1400000US42003420000,42003420000,"Census Tract 4200, Allegheny County, Pennsylvania",39929
1400000US42003421100,42003421100,"Census Tract 4211, Allegheny County, Pennsylvania",72450
1400000US42003421200,42003421200,"Census Tract 4212, Allegheny County, Pennsylvania",92051
1400000US42003422000,42003422000,"Census Tract 4220, Allegheny County, Pennsylvania",148553
1400000US42003423000,42003423000,"Census Tract 4230, Allegheny County, Pennsylvania",66108
1400000US42003424000,42003424000,"Census Tract 4240, Allegheny County, Pennsylvania",32431
1400000US42003425000,42003425000,"Census Tract 4250, Allegheny County, Pennsylvania",44615
1400000US42003426300,42003426300,"Census Tract 4263, Allegheny County, Pennsylvania",77057
1400000US42003426400,42003426400,"Census Tract 4264, Allegheny County, Pennsylvania",61680
1400000US42003426700,42003426700,"Census Tract 4267, Allegheny County, Pennsylvania",57885
1400000US42003426800,42003426800,"Census Tract 4268, Allegheny County, Pennsylvania",79491
1400000US42003427000,42003427000,"Census Tract 4270, Allegheny County, Pennsylvania",35496
1400000US42003427100,42003427100,"Census Tract 4271, Allegheny County, Pennsylvania",78393
1400000US42003427200,42003427200,"Census Tract 4272, Allegheny County, Pennsylvania",51315
1400000US42003428100,42003428100,"Census Tract 4281, Allegheny County, Pennsylvania",54712
1400000US42003428200,42003428200,"Census Tract 4282, Allegheny County, Pennsylvania",65000
1400000US42003429100,42003429100,"Census Tract 4291, Allegheny County, Pennsylvania",68244
1400000US42003429201,42003429201,"Census Tract 4292.01, Allegheny County, Pennsylvania",81033
1400000US42003429202,42003429202,"Census Tract 4292.02, Allegheny County, Pennsylvania",72861
1400000US42003429300,42003429300,"Census Tract 4293, Allegheny County, Pennsylvania",71890
1400000US42003429400,42003429400,"Census Tract 4294, Allegheny County, Pennsylvania",68780
1400000US42003429500,42003429500,"Census Tract 4295, Allegheny County, Pennsylvania",60506
1400000US42003429600,42003429600,"Census Tract 4296, Allegheny County, Pennsylvania",58423
1400000US42003429700,42003429700,"Census Tract 4297, Allegheny County, Pennsylvania",46071
1400000US42003430100,42003430100,"Census Tract 4301, Allegheny County, Pennsylvania",54625
1400000US42003430200,42003430200,"Census Tract 4302, Allegheny County, Pennsylvania",58218
1400000US42003431100,42003431100,"Census Tract 4311, Allegheny County, Pennsylvania",41118
1400000US42003431400,42003431400,"Census Tract 4314, Allegheny County, Pennsylvania",45882
1400000US42003431500,42003431500,"Census Tract 4315, Allegheny County, Pennsylvania",38079
1400000US42003432300,42003432300,"Census Tract 4323, Allegheny County, Pennsylvania",39265
1400000US42003432400,42003432400,"Census Tract 4324, Allegheny County, Pennsylvania",39720
1400000US42003434000,42003434000,"Census Tract 4340, Allegheny County, Pennsylvania",91250
1400000US42003435000,42003435000,"Census Tract 4350, Allegheny County, Pennsylvania",55399
1400000US42003437000,42003437000,"Census Tract 4370, Allegheny County, Pennsylvania",105919
1400000US42003439000,42003439000,"Census Tract 4390, Allegheny County, Pennsylvania",92083
1400000US42003445500,42003445500,"Census Tract 4455, Allegheny County, Pennsylvania",69625
1400000US42003446000,42003446000,"Census Tract 4460, Allegheny County, Pennsylvania",154545
1400000US42003447000,42003447000,"Census Tract 4470, Allegheny County, Pennsylvania",80192
1400000US42003448000,42003448000,"Census Tract 4480, Allegheny County, Pennsylvania",46389
1400000US42003449000,42003449000,"Census Tract 4490, Allegheny County, Pennsylvania",65179
1400000US42003450700,42003450700,"Census Tract 4507, Allegheny County, Pennsylvania",42585
1400000US42003450800,42003450800,"Census Tract 4508, Allegheny County, Pennsylvania",35722
1400000US42003451101,42003451101,"Census Tract 4511.01, Allegheny County, Pennsylvania",81771
1400000US42003451102,42003451102,"Census Tract 4511.02, Allegheny County, Pennsylvania",56375
1400000US42003451104,42003451104,"Census Tract 4511.04, Allegheny County, Pennsylvania",103088
1400000US42003451105,42003451105,"Census Tract 4511.05, Allegheny County, Pennsylvania",55081
1400000US42003451300,42003451300,"Census Tract 4513, Allegheny County, Pennsylvania",106567
1400000US42003452000,42003452000,"Census Tract 4520, Allegheny County, Pennsylvania",75968
1400000US42003453003,42003453003,"Census Tract 4530.03, Allegheny County, Pennsylvania",57375
1400000US42003453004,42003453004,"Census Tract 4530.04, Allegheny County, Pennsylvania",75297
1400000US42003455000,42003455000,"Census Tract 4550, Allegheny County, Pennsylvania",58618
1400000US42003456001,42003456001,"Census Tract 4560.01, Allegheny County, Pennsylvania",80050
1400000US42003456003,42003456003,"Census Tract 4560.03, Allegheny County, Pennsylvania",94356
1400000US42003456004,42003456004,"Census Tract 4560.04, Allegheny County, Pennsylvania",60740
1400000US42003457100,42003457100,"Census Tract 4571, Allegheny County, Pennsylvania",40878
1400000US42003457200,42003457200,"Census Tract 4572, Allegheny County, Pennsylvania",49545
1400000US42003458000,42003458000,"Census Tract 4580, Allegheny County, Pennsylvania",68542
1400000US42003459101,42003459101,"Census Tract 4591.01, Allegheny County, Pennsylvania",65000
1400000US42003459102,42003459102,"Census Tract 4591.02, Allegheny County, Pennsylvania",93135
1400000US42003459201,42003459201,"Census Tract 4592.01, Allegheny County, Pennsylvania",77388
1400000US42003459202,42003459202,"Census Tract 4592.02, Allegheny County, Pennsylvania",54779
1400000US42003460001,42003460001,"Census Tract 4600.01, Allegheny County, Pennsylvania",64730
1400000US42003460002,42003460002,"Census Tract 4600.02, Allegheny County, Pennsylvania",70060
1400000US42003461000,42003461000,"Census Tract 4610, Allegheny County, Pennsylvania",44375
1400000US42003462100,42003462100,"Census Tract 4621, Allegheny County, Pennsylvania",33333
1400000US42003462600,42003462600,"Census Tract 4626, Allegheny County, Pennsylvania",36132
1400000US42003463900,42003463900,"Census Tract 4639, Allegheny County, Pennsylvania",35804
1400000US42003464300,42003464300,"Census Tract 4643, Allegheny County, Pennsylvania",48490
1400000US42003464400,42003464400,"Census Tract 4644, Allegheny County, Pennsylvania",25971
1400000US42003465600,42003465600,"Census Tract 4656, Allegheny County, Pennsylvania",39601
1400000US42003465800,42003465800,"Census Tract 4658, Allegheny County, Pennsylvania",57480
1400000US42003468700,42003468700,"Census Tract 4687, Allegheny County, Pennsylvania",47857
1400000US42003468800,42003468800,"Census Tract 4688, Allegheny County, Pennsylvania",41625
1400000US42003468900,42003468900,"Census Tract 4689, Allegheny County, Pennsylvania",42684
1400000US42003469000,42003469000,"Census Tract 4690, Allegheny County, Pennsylvania",72604
1400000US42003470300,42003470300,"Census Tract 4703, Allegheny County, Pennsylvania",65105
1400000US42003470400,42003470400,"Census Tract 4704, Allegheny County, Pennsylvania",62697
1400000US42003470501,42003470501,"Census Tract 4705.01, Allegheny County, Pennsylvania",65592
1400000US42003470502,42003470502,"Census Tract 4705.02, Allegheny County, Pennsylvania",74574
1400000US42003470600,42003470600,"Census Tract 4706, Allegheny County, Pennsylvania",48893
1400000US42003471000,42003471000,"Census Tract 4710, Allegheny County, Pennsylvania",43333
1400000US42003472100,42003472100,"Census Tract 4721, Allegheny County, Pennsylvania",49309
1400000US42003472200,42003472200,"Census Tract 4722, Allegheny County, Pennsylvania",76094
1400000US42003472300,42003472300,"Census Tract 4723, Allegheny County, Pennsylvania",46193
1400000US42003472400,42003472400,"Census Tract 4724, Allegheny County, Pennsylvania",78886
1400000US42003473100,42003473100,"Census Tract 4731, Allegheny County, Pennsylvania",73407
1400000US42003473200,42003473200,"Census Tract 4732, Allegheny County, Pennsylvania",55833
1400000US42003473300,42003473300,"Census Tract 4733, Allegheny County, Pennsylvania",85330
1400000US42003473401,42003473401,"Census Tract 4734.01, Allegheny County, Pennsylvania",66848
1400000US42003473402,42003473402,"Census Tract 4734.02, Allegheny County, Pennsylvania",97841
1400000US42003473500,42003473500,"Census Tract 4735, Allegheny County, Pennsylvania",126960
1400000US42003473601,42003473601,"Census Tract 4736.01, Allegheny County, Pennsylvania",107109
1400000US42003473602,42003473602,"Census Tract 4736.02, Allegheny County, Pennsylvania",85909
1400000US42003474101,42003474101,"Census Tract 4741.01, Allegheny County, Pennsylvania",94236
1400000US42003474102,42003474102,"Census Tract 4741.02, Allegheny County, Pennsylvania",105990
1400000US42003474201,42003474201,"Census Tract 4742.01, Allegheny County, Pennsylvania",109700
1400000US42003474202,42003474202,"Census Tract 4742.02, Allegheny County, Pennsylvania",122361
1400000US42003474203,42003474203,"Census Tract 4742.03, Allegheny County, Pennsylvania",106500
1400000US42003475101,42003475101,"Census Tract 4751.01, Allegheny County, Pennsylvania",60112
1400000US42003475102,42003475102,"Census Tract 4751.02, Allegheny County, Pennsylvania",72292
1400000US42003475200,42003475200,"Census Tract 4752, Allegheny County, Pennsylvania",75757
1400000US42003475301,42003475301,"Census Tract 4753.01, Allegheny County, Pennsylvania",57674
1400000US42003475303,42003475303,"Census Tract 4753.03, Allegheny County, Pennsylvania",80213
1400000US42003475304,42003475304,"Census Tract 4753.04, Allegheny County, Pennsylvania",83311
1400000US42003475401,42003475401,"Census Tract 4754.01, Allegheny County, Pennsylvania",71042
1400000US42003475402,42003475402,"Census Tract 4754.02, Allegheny County, Pennsylvania",83868
1400000US42003476100,42003476100,"Census Tract 4761, Allegheny County, Pennsylvania",46341
1400000US42003476200,42003476200,"Census Tract 4762, Allegheny County, Pennsylvania",59063
1400000US42003477100,42003477100,"Census Tract 4771, Allegheny County, Pennsylvania",65408
1400000US42003477200,42003477200,"Census Tract 4772, Allegheny County, Pennsylvania",60495
1400000US42003477300,42003477300,"Census Tract 4773, Allegheny County, Pennsylvania",49866
1400000US42003478100,42003478100,"Census Tract 4781, Allegheny County, Pennsylvania",46667
1400000US42003478200,42003478200,"Census Tract 4782, Allegheny County, Pennsylvania",58383
1400000US42003479000,42003479000,"Census Tract 4790, Allegheny County, Pennsylvania",60595
1400000US42003480101,42003480101,"Census Tract 4801.01, Allegheny County, Pennsylvania",44854
1400000US42003480102,42003480102,"Census Tract 4801.02, Allegheny County, Pennsylvania",58846
1400000US42003480200,42003480200,"Census Tract 4802, Allegheny County, Pennsylvania",62153
1400000US42003480300,42003480300,"Census Tract 4803, Allegheny County, Pennsylvania",64205
1400000US42003480400,42003480400,"Census Tract 4804, Allegheny County, Pennsylvania",59618
1400000US42003481000,42003481000,"Census Tract 4810, Allegheny County, Pennsylvania",33750
1400000US42003482500,42003482500,"Census Tract 4825, Allegheny County, Pennsylvania",49219
1400000US42003483800,42003483800,"Census Tract 4838, Allegheny County, Pennsylvania",24703
1400000US42003484300,42003484300,"Census Tract 4843, Allegheny County, Pennsylvania",38542
1400000US42003484500,42003484500,"Census Tract 4845, Allegheny County, Pennsylvania",54026
1400000US42003484600,42003484600,"Census Tract 4846, Allegheny County, Pennsylvania",47719
1400000US42003485000,42003485000,"Census Tract 4850, Allegheny County, Pennsylvania",39167
1400000US42003486700,42003486700,"Census Tract 4867, Allegheny County, Pennsylvania",17331
1400000US42003486800,42003486800,"Census Tract 4868, Allegheny County, Pennsylvania",24844
1400000US42003486900,42003486900,"Census Tract 4869, Allegheny County, Pennsylvania",26768
1400000US42003487000,42003487000,"Census Tract 4870, Allegheny County, Pennsylvania",41314
1400000US42003488100,42003488100,"Census Tract 4881, Allegheny County, Pennsylvania",51445
1400000US42003488200,42003488200,"Census Tract 4882, Allegheny County, Pennsylvania",43241
1400000US42003488300,42003488300,"Census Tract 4883, Allegheny County, Pennsylvania",57216
1400000US42003488400,42003488400,"Census Tract 4884, Allegheny County, Pennsylvania",43770
1400000US42003488500,42003488500,"Census Tract 4885, Allegheny County, Pennsylvania",51934
1400000US42003488600,42003488600,"Census Tract 4886, Allegheny County, Pennsylvania",58456
1400000US42003489001,42003489001,"Census Tract 4890.01, Allegheny County, Pennsylvania",56316
1400000US42003489002,42003489002,"Census Tract 4890.02, Allegheny County, Pennsylvania",78849
1400000US42003490002,42003490002,"Census Tract 4900.02, Allegheny County, Pennsylvania",50326
1400000US42003490003,42003490003,"Census Tract 4900.03, Allegheny County, Pennsylvania",82500
1400000US42003490004,42003490004,"Census Tract 4900.04, Allegheny County, Pennsylvania",81196
1400000US42003491101,42003491101,"Census Tract 4911.01, Allegheny County, Pennsylvania",90083
1400000US42003491200,42003491200,"Census Tract 4912, Allegheny County, Pennsylvania",59779
1400000US42003492700,42003492700,"Census Tract 4927, Allegheny County, Pennsylvania",35833
1400000US42003492800,42003492800,"Census Tract 4928, Allegheny County, Pennsylvania",25488
1400000US42003492900,42003492900,"Census Tract 4929, Allegheny County, Pennsylvania",37866
1400000US42003494000,42003494000,"Census Tract 4940, Allegheny County, Pennsylvania",37014
1400000US42003495000,42003495000,"Census Tract 4950, Allegheny County, Pennsylvania",51122
